ID,COORDS_X,COORDS_Y,AGE,ROOMS,HOUSESIZE,LOTSIZE,INQUALITY,PARKING,DISTAMEN,DISTCBD,PROXAMEN,DFLOOD100,TRPRICE,YEAR,ASKPRICE,AGE2,HOUSESIZE2,LOTSIZE2,LN_DISTCBD,LN_DISTAMEN
4671992,175643,316965,68,7,155,208,4,0,1203,1261,2537,0,285473,2012,299000,4624,24025,43264,7.1396604,7.0925736
6889434,174218,317274,53,5,138,436,5,1,2500,2287,1240,0,440000,2020,450000,2809,19044,190096,7.7349963,7.8240461
3975409,179540,319236,40,10,165,224,4,1,2540,3388,1199,0,338365,2011,345000,1600,27225,50176,8.1279955,7.8399196
7068147,179138,318756,65,4,148,180,2,0,2203,2852,1536,0,230000,2020,275000,4225,21904,32400,7.9557757,7.6975756
5239806,179652,319414,41,5,102,260,4,1,2643,3560,1097,0,231147,2015,245000,1681,10404,67600,8.177516,7.8796701
5325349,176354,316705,90,10,155,244,4,0,451,1274,3289,0,422840,2017,495000,8100,24025,59536,7.1499166,6.1114674
7036857,178803,317990,19,5,168,219,4,0,1950,2410,1790,0,411100,2020,429500,361,28224,47961,7.7873821,7.5755849
289212,178284,317921,53,5,135,167,4,0,1440,1891,2300,0,162864,2006,169000,2809,18225,27889,7.5448608,7.2723985
5314864,179365,320112,53,6,187,1386,4,0,2279,3658,1461,0,281676,2015,299000,2809,34969,1920996,8.2046719,7.731492
5314559,173272,317535,22,5,120,284,4,1,3392,3153,347,0,295653,2015,299000,484,14400,80656,8.0561094,8.1291752
5314554,178870,314667,40,6,195,301,4,1,1497,4135,2243,0,308016,2015,325000,1600,38025,90601,8.3272429,7.3112183
3973086,179388,318872,23,6,100,231,4,1,2430,3125,1310,0,280538,2010,285000,529,10000,53361,8.0471897,7.7956467
5314544,174364,317312,55,5,95,166,4,0,2349,2136,1391,0,177392,2015,179000,3025,9025,27556,7.6666903,7.761745
5679898,176606,316112,100,3,94,130,2,0,182,1879,3558,0,183529,2016,210000,10000,8836,16900,7.5384951,5.2040067
4002866,179254,319084,53,5,170,322,1,1,2273,3067,1467,0,223022,2010,245000,2809,28900,103684,8.0284548,7.7288556
7053423,178420,317916,15,4,134,131,4,0,1567,2027,2173,0,367000,2020,375000,225,17956,17161,7.6143122,7.3569183
4093463,178893,316512,83,5,175,352,4,1,1665,2898,2075,0,276427,2011,295000,6889,30625,123904,7.971776,7.4175806
4782624,177538,315986,34,6,100,197,4,0,440,2298,3300,0,216320,2014,245000,1156,10000,38809,7.7397943,6.0867748
4501743,177408,319525,92,5,128,205,4,0,401,1849,3339,0,209906,2012,219000,8464,16384,42025,7.5224004,5.9939613
5314455,175243,317837,90,10,145,248,4,0,1400,1159,2340,0,332227,2016,339000,8100,21025,61504,7.0553126,7.2442274
5314437,175363,316919,70,6,120,249,4,0,1463,1478,2276,0,228459,2015,249000,4900,14400,62001,7.2984452,7.2882442
